iter	Logloss
0	0.6659220632
1	0.6379467629
2	0.6125112014
3	0.5923224787
4	0.5729178246
5	0.5562419995
6	0.5424625194
7	0.5277156099
8	0.5140188145
9	0.5016251611
10	0.4914116814
11	0.4821726932
12	0.4711029059
13	0.460921391
14	0.4530908526
15	0.4458797699
16	0.4383893314
17	0.4319317753
18	0.4248657866
19	0.4208165441
20	0.4166051016
21	0.4114708293
22	0.4061857096
23	0.4037185746
24	0.4000806858
25	0.3953769728
26	0.3915005246
27	0.3889800829
28	0.3859106096
29	0.3824621302
30	0.3801891066
31	0.376576049
32	0.374532211
33	0.3719070955
34	0.3683644172
35	0.3661030521
36	0.3640812349
37	0.3630984581
38	0.3606842222
39	0.3590921166
40	0.3575596215
41	0.3560395147
42	0.3541735209
43	0.352473776
44	0.350091839
45	0.3486688119
46	0.34748721
47	0.3450771401
48	0.3442101983
49	0.3436582887
50	0.3419207376
51	0.3407027468
52	0.3395508174
53	0.3379349931
54	0.3363822539
55	0.335196031
56	0.3341299663
57	0.333194151
58	0.3327508803
59	0.3316642467
60	0.3303626649
61	0.3282836561
62	0.3267752977
63	0.3259039568
64	0.3249454684
65	0.323169303
66	0.3219007071
67	0.3209529469
68	0.3205771273
69	0.3194428193
70	0.3189707121
71	0.3180226686
72	0.3172271603
73	0.3166606728
74	0.3154038307
75	0.3147541432
76	0.3131425062
77	0.3123037235
78	0.3112926929
79	0.3105259377
80	0.309878088
81	0.3095780024
82	0.3085595479
83	0.3074170239
84	0.3067468323
85	0.3057482413
86	0.3047664303
87	0.3045438255
88	0.3038691485
89	0.3036281256
90	0.303475999
91	0.3029810565
92	0.3023003127
93	0.3017239743
94	0.3009908931
95	0.3007995935
96	0.3002021728
97	0.2997796963
98	0.2991553386
99	0.2988118225
100	0.2982569078
101	0.2974674294
102	0.2965819151
103	0.2960459161
104	0.2954006495
105	0.2950774982
106	0.294304649
107	0.2937758188
108	0.2932100527
109	0.2920840124
110	0.2915485726
111	0.2910361536
112	0.2905576565
113	0.2902279434
114	0.2896484187
115	0.2892905203
116	0.2890530216
117	0.2888261277
118	0.288173195
119	0.2873305879
120	0.2868346721
121	0.2858069271
122	0.2851016522
123	0.2848648222
124	0.2841496788
125	0.2833657668
126	0.2826045967
127	0.2820510954
128	0.28132168
129	0.2805540971
130	0.2797229031
131	0.2790703405
132	0.2787125061
133	0.2784345782
134	0.2776632145
135	0.2773057937
136	0.2769806734
137	0.2765542656
138	0.2761186344
139	0.2753722206
140	0.2743352706
141	0.273657783
142	0.2730873315
143	0.2726997368
144	0.2720435862
145	0.2716977709
146	0.2712096604
147	0.2710169547
148	0.2704240605
149	0.2700533874
150	0.2696506231
151	0.2689946856
152	0.2680187892
153	0.2676265048
154	0.2669121466
155	0.2663886468
156	0.2660642454
157	0.2656552869
158	0.2652673739
159	0.2649020909
160	0.2643439257
161	0.2639727486
162	0.2634933561
163	0.2632415123
164	0.2630660455
165	0.2627064479
166	0.2621624735
167	0.2616733413
168	0.2610970828
169	0.2605460008
170	0.2603443171
171	0.2597559956
172	0.2594747025
173	0.2591260916
174	0.2585772308
175	0.2581494937
176	0.2576642265
177	0.2570356382
178	0.2567432305
179	0.2561656916
180	0.2557642877
181	0.2554353896
182	0.2549443504
183	0.25454393
184	0.2541548445
185	0.2539523029
186	0.2535041598
187	0.2522592099
188	0.2518511346
189	0.2512028019
190	0.2503785205
191	0.2500179971
192	0.2497926121
193	0.2493375851
194	0.249057764
195	0.2483232076
196	0.2478630948
197	0.2475357538
198	0.2465195995
199	0.2462575103
200	0.245519593
201	0.2452047667
202	0.2449517293
203	0.2447396264
204	0.2429428113
205	0.2418741087
206	0.2416457387
207	0.2413341287
208	0.2408673054
209	0.240646689
210	0.2404618492
211	0.2398984914
212	0.2389701022
213	0.2374853013
214	0.2366249935
215	0.2355159639
216	0.2350772302
217	0.234713709
218	0.2345203822
219	0.234180576
220	0.2333013299
221	0.2327871913
222	0.2324097883
223	0.2317978123
224	0.2306053254
225	0.2302310006
226	0.2297799138
227	0.2295218658
228	0.2286352574
229	0.227831155
230	0.2274508415
231	0.2266540871
232	0.2262448242
233	0.225538461
234	0.2244934128
235	0.2241946529
236	0.2239182041
237	0.223689791
238	0.2233707282
239	0.2226256889
240	0.2224498171
241	0.2215308434
242	0.2209133178
243	0.2205501276
244	0.2198758385
245	0.2190861035
246	0.2186781372
247	0.2182140903
248	0.2178899016
249	0.2176252125
250	0.21715293
251	0.2167782461
252	0.2161929526
253	0.2160493772
254	0.215526706
255	0.2148829554
256	0.2139238732
257	0.2132190581
258	0.2123849824
259	0.2122128413
260	0.2118925967
261	0.2113974597
262	0.2107087884
263	0.2103342929
264	0.2100306647
265	0.209792978
266	0.2091990605
