iter	Passed	Remaining
0	53	79906
1	54	40901
2	56	28194
3	58	21749
4	59	17771
5	60	15096
6	61	13187
7	63	11760
8	64	10645
9	65	9752
10	66	9021
11	67	8413
12	69	7897
13	70	7456
14	72	7134
15	73	6820
16	74	6524
17	76	6257
18	77	6018
19	78	5802
20	79	5606
21	80	5427
22	81	5264
23	83	5117
24	84	4979
25	85	4856
26	87	4786
27	89	4687
28	90	4584
29	91	4489
30	92	4402
31	94	4325
32	95	4246
33	96	4174
34	98	4103
35	99	4036
36	100	3972
37	101	3908
38	103	3877
39	104	3831
40	106	3779
41	107	3728
42	108	3679
43	109	3633
44	110	3588
45	112	3545
46	113	3504
47	114	3465
48	115	3427
49	117	3403
50	119	3400
51	121	3386
52	122	3355
53	124	3330
54	125	3306
55	127	3283
56	128	3255
57	129	3231
58	132	3234
59	134	3226
60	135	3206
61	137	3181
62	138	3157
63	139	3136
64	141	3117
65	142	3098
66	143	3076
67	145	3057
68	146	3041
69	148	3040
70	150	3027
71	151	3010
72	153	2990
73	154	2970
74	155	2954
75	156	2937
76	157	2919
77	159	2901
78	160	2883
79	162	2878
80	163	2865
81	164	2850
82	169	2888
83	170	2871
84	171	2855
85	172	2839
86	173	2824
87	174	2803
88	175	2788
89	177	2784
90	178	2771
91	180	2757
92	181	2743
93	182	2729
94	183	2716
95	184	2700
96	185	2687
97	186	2674
98	188	2662
99	189	2650
100	190	2638
101	191	2628
102	193	2622
103	194	2613
104	195	2603
105	197	2592
106	198	2581
107	199	2571
108	200	2560
109	201	2550
110	203	2540
111	204	2530
112	205	2521
113	206	2511
114	208	2510
115	209	2505
116	211	2496
117	212	2488
118	213	2480
119	214	2471
120	216	2464
121	217	2456
122	218	2448
123	219	2439
124	221	2431
125	222	2424
126	225	2433
127	226	2430
128	228	2423
129	229	2416
130	230	2409
131	231	2401
132	232	2394
133	234	2386
134	235	2379
135	236	2372
136	238	2372
137	240	2368
138	241	2362
139	242	2355
140	243	2349
141	244	2342
142	246	2335
143	247	2328
144	248	2322
145	249	2317
146	251	2313
147	253	2312
148	254	2309
149	256	2304
150	257	2297
151	258	2291
152	259	2285
153	260	2279
154	261	2273
155	263	2267
156	264	2262
157	265	2256
158	267	2256
159	269	2256
160	270	2252
161	271	2244
162	272	2238
163	273	2231
164	275	2225
165	276	2220
166	277	2215
167	278	2209
168	279	2203
169	283	2215
170	284	2210
171	285	2206
172	286	2201
173	288	2195
174	289	2190
175	290	2184
176	291	2179
177	292	2174
178	293	2168
179	294	2163
180	297	2165
181	298	2161
182	299	2156
183	300	2151
184	301	2145
185	303	2140
186	304	2135
187	305	2130
188	306	2125
189	307	2120
190	308	2115
191	309	2111
192	311	2110
193	312	2106
194	314	2101
195	315	2097
196	316	2093
197	317	2088
198	318	2084
199	319	2079
200	321	2075
201	322	2070
202	323	2066
203	324	2063
204	326	2065
205	328	2062
206	329	2057
207	330	2053
208	331	2049
209	332	2044
210	333	2040
211	335	2036
212	336	2031
213	337	2027
214	339	2027
215	340	2026
216	342	2022
217	343	2018
218	344	2014
219	345	2010
220	346	2006
221	347	2002
222	348	1998
223	350	1994
224	351	1990
225	352	1986
226	354	1985
227	355	1985
228	357	1981
